sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,state,race,math_score,reading_score,writing_score,attendance_rate,suspensions,expulsions,teacher_support,counseling,social_worker_visits,parental_involvement
F,17,U,GT3,T,2,3,at_home,at_home,mother,3,2,1,no,no,no,yes,yes,yes,no,yes,2,2,4,4,1,3,89,Florida,Asian,21,33,36,72.27,0,0,yes,no,2,low
F,18,R,LE3,T,2,4,teacher,health,other,2,3,2,no,yes,no,no,yes,yes,yes,yes,2,1,5,2,2,1,77,California,Asian,20,52,27,79.03,0,1,no,no,4,low
F,19,R,LE3,A,4,0,services,at_home,other,3,4,1,no,yes,yes,no,no,yes,yes,no,5,1,1,1,1,3,56,Texas,Other,14,2,10,90.76,0,1,yes,yes,1,low
F,17,R,GT3,T,2,0,at_home,health,father,1,4,1,no,yes,no,yes,no,yes,no,yes,3,4,2,5,1,5,58,California,White,48,86,69,88.66,1,0,yes,no,3,low
F,15,U,GT3,T,4,1,teacher,other,father,2,4,1,yes,yes,no,no,yes,no,yes,yes,4,2,2,2,2,2,50,Florida,White,78,1,26,78.3,0,0,yes,no,2,low
F,18,R,GT3,T,2,4,services,health,mother,1,3,3,yes,no,no,yes,no,yes,yes,yes,5,4,2,5,4,5,22,California,White,49,59,41,93.16,2,1,no,no,3,low
F,19,U,LE3,A,4,2,at_home,at_home,father,4,3,4,yes,yes,no,yes,no,no,no,no,3,3,4,3,3,2,49,California,Hispanic,46,45,74,98.77,1,0,yes,yes,0,high
M,15,U,GT3,T,2,1,other,services,mother,1,1,4,no,yes,no,yes,no,yes,no,yes,5,4,1,4,2,5,57,Texas,Asian,78,14,82,77.58,2,0,no,no,1,low
F,15,U,GT3,T,4,0,other,at_home,other,2,4,2,yes,yes,no,yes,no,no,yes,yes,2,4,5,3,2,5,24,Florida,African American,68,98,75,93.6,1,1,yes,no,0,medium
M,15,U,GT3,A,1,2,teacher,at_home,mother,3,4,4,yes,yes,yes,no,yes,yes,no,yes,2,3,4,2,5,5,81,Florida,Other,40,6,80,93.59,0,0,no,no,3,medium
M,15,U,LE3,A,4,3,at_home,health,father,4,3,4,no,yes,yes,no,yes,yes,no,no,4,4,5,2,3,2,29,Texas,Asian,83,60,7,86.03,3,0,yes,no,4,low
M,17,R,GT3,T,4,4,at_home,teacher,other,3,2,2,no,yes,no,no,yes,no,no,no,5,5,2,5,2,5,3,California,White,21,34,58,70.3,0,1,no,no,2,high
